1	full	abo	á-bô
10	full	asai	ā-sái
100	full	ahkhape	ah-kha-pê
1000	full	anghehoe	âng-hê-hoe
10000	full	chhiasok	chhia-sok
10001	full	chhiasun	chhia-sún
10002	full	chhiat	chhiat
10003	full	chhiat	chhiat
10004	full	chhiatah	chhia-ta̍h
10005	full	chhiatai	chhia-tâi
10006	full	chhiatau	chhia-táu
10007	full	chhiatau	chhia-táu
10008	full	chhiatbok	chhiat-bo̍k
10009	full	chhiatchhui	chhiat-chhùi
1001	full	anghengchiau	âng-heng-chiáu
10010	full	chhiate	chhia-té
10010	full	chhiatoe	chhia-tóe
10011	full	chhiateng	chhia-teng
10012	full	chhiateng	chhia-téng
10013	full	chhiathang	chhia-thang
10014	full	chhiathangto	chhia-tháng-tò
10015	full	chhiathap	chhiat-ha̍p
10016	full	chhiathau	chhia-thâu
10017	full	chhiathau	chhia-thâu
10018	full	chhiathau	chhia-thâu
10019	full	chhiathe	chhia-thé
1002	full	anghi	âng-hî
1002	full	anghu	âng-hû
10020	full	chhiathe	chhiat-hè
10020	full	chhiathoe	chhiat-hòe
10021	full	chhiatiann	chhia-tiàⁿ
10022	full	chhiatiunn	chhia-tiúⁿ
10023	full	chhiatjip	chhiat-ji̍p
10024	full	chhiatkhi	chhiat-khì
10025	full	chhiatkhi	chhiat-khì
10026	full	chhiatkhi	chhiat-khì
10027	full	chhiatkhi	chhiat-khī
10028	full	chhiatkhui	chhiat-khui
10029	full	chhiatki	chhiat-kì
1003	full	anghi	âng-hî
1003	full	anghu	âng-hû
10030	full	chhiatkiat	chhiat-kiat
10031	full	chhiato	chhia-tó
10032	full	chhiato	chhia-tó
10033	full	chhiato	chhia-tó
10034	full	chhiato	chhia-tó
10035	full	chhiato	chhia-tó
10036	full	chhiato	chhia-tó
10037	full	chhiato	chhia-tó
10038	full	chhiato	chhia-tó
10039	full	chhiato	chhia-tō
1004	full	anghia	âng-hiā
10040	full	chhiatoann	chhia-toaⁿ
10041	full	chhiatonga	chhia-tòng-á
10042	full	chhiatpakchusat	chhiat-pak-chū-sat
10043	full	chhiatphinn	chhiat-phìⁿ
10044	full	chhiatsiah	chhiat-siah
10045	full	chhiatsin	chhiat-sin
