台	灣
台	完
台	萬
台	晚
台	玩
台	網
台	望
台	往
機運送	出
機運送	成
機運送	此
機運送	長
機運送	次
機運送	重
機運送	才
機運送	從
他正躲	在
他正躲	再
他正躲	載
他正躲	災
他正躲	仔
他正躲	栽
他正躲	宰
他正躲	在台
座標	之
座標	誌
座標	只
座標	知
座標	至
座標	制
座標	指
座標	直
非已發	生
非已發	是
非已發	送
非已發	射
非已發	時
非已發	上
非已發	所
非已發	售
以保護	秘密
以保護	密碼
以保護	祕密
以保護	明明
以保護	面貌
以保護	命名
以保護	面目
以保護	瀰漫
規範投	開票所
規範投	開闢
規範投	開跑
規範投	開盤
規範投	開拍
規範投	開票
規範投	開平
規範投	開砲
視為	一名
視為	一幕
視為	一門
視為	以免
視為	一毛
視為	一秒
視為	一面
視為	遊民
報資訊	網
報資訊	望
報資訊	往
報資訊	王
報資訊	忘
報資訊	亡
報資訊	網路
報資訊	旺
島素相	比較
島素相	比較好
島素相	比較多
島素相	比較重
島素相	比較像
島素相	比較的
島素相	比較起來
島素相	比較久
波列夫	變
波列夫	便
波列夫	邊
波列夫	編
波列夫	遍
波列夫	扁
波列夫	辯
波列夫	辨
他在	就
他在	家
他在	其
他在	及
他在	經
他在	機
他在	進
他在	間
當你	看到
當你	看的
當你	看得
當你	看待
當你	刊登
當你	看得到
當你	砍掉
當你	看得出
好看但	不
好看但	部
好看但	本
好看但	比
好看但	把
好看但	表
好看但	被
好看但	保
收錄	電影
收錄	電影節
收錄	電影院
收錄	電影界
收錄	電影裡
收錄	電影票
收錄	電影圈
收錄	電影院裡
到臺	灣
到臺	完
到臺	萬
到臺	晚
到臺	玩
到臺	網
到臺	望
到臺	往
求可管	理
求可管	力
求可管	裡
求可管	立
求可管	利
求可管	了
求可管	例
求可管	李
該島還	設有
該島還	社友
該島還	聲優
該島還	省油
該島還	神遊
該島還	生油
該島還	深有
該島還	赦宥
灣漁業	不能
灣漁業	八年
灣漁業	半年
灣漁業	百年
灣漁業	不難
灣漁業	卑南
灣漁業	不耐
灣漁業	本能
聞綜合	報導
聞綜合	報到
聞綜合	寶島
聞綜合	寶刀
聞綜合	刨刀
聞綜合	報導文學
聞綜合	鉋刀
聞綜合	寶刀未老
出口穩	定要
出口穩	定於
出口穩	定義
出口穩	定讞
出口穩	定約
出口穩	定壓
出口穩	訂閱
出口穩	叮咬
必有	關卡
必有	公開
必有	廣闊
必有	各科
必有	關口
必有	顧客
必有	高空
必有	公克
生效	手
生效	受
生效	收
生效	首
生效	授
生效	守
生效	售
生效	熟
在台灣	原來
在台灣	越來
在台灣	娛樂
在台灣	愈來
在台灣	愈來愈
在台灣	雲林
在台灣	原理
在台灣	預料
年鄭成	個
年鄭成	國
年鄭成	功
年鄭成	家
年鄭成	過
年鄭成	公
年鄭成	高
年鄭成	工
通勤者	提供
通勤者	提高
通勤者	提過
通勤者	提供給
通勤者	提綱
通勤者	調高
通勤者	聽過
通勤者	天公
結合	案件
結合	按鍵
結合	安檢
結合	按件
結合	暗箭
結合	按鍵組合
結合	按鍵式
結合	按件計酬
每一棟	老
每一棟	落
每一棟	勞
每一棟	絡
每一棟	老師
每一棟	牢
每一棟	撈
每一棟	老人
但	大家
但	打擊
但	登記
但	動機
但	當局
但	東京
但	多久
但	代價
抗中保	他
抗中保	台
抗中保	天
抗中保	體
抗中保	提
抗中保	題
抗中保	同
抗中保	她
跨越兩	岸
跨越兩	案
跨越兩	安
跨越兩	按
跨越兩	暗
跨越兩	安全
跨越兩	安排
跨越兩	胺
它	看
它	刊
它	看到
它	堪
它	抗
它	砍
它	康
它	勘
記錄	回饋
記錄	會看
記錄	會考
記錄	或可
記錄	戶口
記錄	湖口
記錄	匯款
記錄	花開
限制船	長
限制船	在
限制船	這
限制船	中
限制船	自
限制船	之
限制船	子
限制船	作
且	容
且	榮
且	融
且	容易
且	溶
且	蓉
且	榕
且	戎
務不同	世代
務不同	時代
務不同	十代
務不同	士大夫
務不同	食道癌
務不同	市代會
務不同	十袋
務不同	石埭
恆春半	的
恆春半	大
恆春半	到
恆春半	都
恆春半	地
恆春半	得
恆春半	島
恆春半	對
一段產	一
一段產	業
一段產	有
一段產	以
一段產	要
一段產	也
一段產	於
一段產	與
經	常在
經	長在
經	腸子
經	唱著
經	場主
經	長足
經	廠址
經	長著
距離移	的
距離移	到
距離移	動
距離移	大
距離移	都
距離移	地
距離移	得
距離移	對
任教	的
任教	導
任教	大
任教	到
任教	都
任教	地
任教	得
任教	對
薯藤迅	速
薯藤迅	所
薯藤迅	訴
薯藤迅	素
薯藤迅	蘇
薯藤迅	所以
薯藤迅	縮
薯藤迅	塑
零售及	參與
零售及	產業
零售及	差異
零售及	採用
零售及	創意
零售及	成員
零售及	測驗
零售及	此一
出版品	行
出版品	學
出版品	下
出版品	心
出版品	現
出版品	新
出版品	還
出版品	小
毛	利
毛	理
毛	力
毛	裡
毛	立
毛	了
毛	例
毛	李
完成	第一
完成	電影
完成	第一個
完成	第一次
完成	定義
完成	敵意
完成	第一屆
完成	低音
個新興	時
個新興	是
個新興	十
個新興	事
個新興	實
個新興	市
個新興	提
個新興	使
創	作
創	造
創	在
創	這
創	中
創	自
創	之
創	子
中心	人物
中心	任務
中心	仁武
中心	忍無可忍
中心	人物畫
中心	仁武鄉
中心	仁武區
中心	人無遠慮
人選擇	台
人選擇	太
人選擇	態
人選擇	台灣
人選擇	泰
人選擇	台北
人選擇	胎
人選擇	抬
台語	就
台語	家
台語	其
台語	及
台語	經
台語	機
台語	進
台語	間
國際	會
國際	後
國際	和
國際	好
國際	很
