AARP	71
AAT	70
AAU	87
ABC's	103
ABM	74
ACCA	70
ACCC	70
ACLU	86
ACM	91
ACS	91
ACTH	72
ACU	73
AD	74
ADC	91
ADD	72
ADHD	91
ADP	89
ADR	80
ADSL	85
ADT	71
AEC	86
AEF	74
AEG	82
AF	94
AFC	112
AFL's	80
AFM	78
AFN	71
AGC	74
AGS	78
AHS	74
AIA	83
AIDS	119
AIF	87
AIG	80
AIPAC	73
AIT	74
ALGOL	80
AMX	83
ANSI	90
AOL	97
AOL's	70
APA	92
APC	90
APCs	77
APD	77
APEC	80
APG	88
APIs	89
APM	74
APS	88
ARCA	79
ARF	77
ARL	82
ARP	86
ARPANET	75
ASAP	70
ASB	80
ASCAP	88
ASCII	98
ASD	80
ASEAN	93
ASME	73
ASN	72
ASSR	78
ATC	94
ATM	97
ATPase	80
ATV	96
AWACS	75
AWOL	74
Aachen	81
Aarhus	73
Aaron	104
Ababa	77
Abba	73
Abbas	88
Abbasid	77
Abbey	111
Abbot	91
Abbott	95
Abby	85
Abdul	101
Abe	87
Abel	90
Aberdeen	101
Aberdeenshire	76
Aberystwyth	75
Abigail	81
Abilene	76
Abingdon	78
Abkhaz	70
Abkhazia	78
Abner	75
Aborigines	81
Abraham	107
Abram	76
Abramoff	74
Abrams	84
Acadia	78
Acadian	77
Acapulco	76
Accra	75
Accrington	72
Achilles	87
Ackerman	75
Acosta	72
Acropolis	74
ActiveX	74
Activision	74
Acton	84
Acts	100
Ada	87
Adair	77
Adam	116
Adam's	80
Adams	114
Adamson	77
Adana	71
Addams	77
Addington	74
Addis	80
Addison	86
Adelaide	109
Adelaide's	70
Adele	76
Aden	83
Adi	81
Adidas	75
Adirondack	80
Adler	90
Admiralty	96
Adolf	101
Adolfo	77
Adolph	81
Adolphe	76
Adolphus	75
Adonis	73
Adrian	101
Adriana	74
Adriatic	87
Adrien	70
Adrienne	76
Advent	77
Adventist	88
Adventists	75
Aegean	87
Aeneas	74
Afghan	100
Afghanistan	112
Afghans	76
Africa	131
Africa's	89
African	133
Africans	94
Afrikaans	83
Afrikaner	72
Afro	90
Agamemnon	74
Agatha	83
Aggie	72
Aggies	77
Agnes	95
Agnew	74
Agni	71
Agra	81
Agrippa	73
Aguilar	73
Aguinaldo	72
Aguirre	74
Ahmad	99
Ahmed	99
Aida	76
Aidan	76
Aiken	77
Ainu	73
AirAsia	71
Airbus	92
Airdrie	72
Aires	105
Aitken	78
Ajax	90
Ajay	73
Akbar	88
Akkadian	76
Akron	87
Alabama	115
Alabama's	74
Aladdin	82
Alain	88
Alameda	84
Alamein	72
Alamo	82
Alamos	78
Alan	116
Alaska	110
Alaskan	83
Alastair	75
Alba	85
Albania	99
Albanian	100
Albanians	83
Albans	86
Albany	104
Albert	118
Albert's	72
Alberta	110
Alberta's	71
Alberto	95
Albion	98
Albrecht	82
Albright	79
