taiwanese-basic:564	full	chhoanpankongchhu	Chhoan Pān-kong-chhù
taiwanese-basic:564	prefix	chhoanpan	Chhoan Pān-kong-chhù
taiwanese-basic:564	initials	cpkc	Chhoan Pān-kong-chhù
taiwanese-basic:565	full	chhoantiunn	Chhoan Tiúⁿ
taiwanese-basic:565	prefix	chhoan	Chhoan Tiúⁿ
taiwanese-basic:565	initials	ct	Chhoan Tiúⁿ
taiwanese-basic:543	full	chhichenghu	Chhī Chèng-hú
taiwanese-basic:543	prefix	chhich	Chhī Chèng-hú
taiwanese-basic:543	initials	cch	Chhī Chèng-hú
taiwanese-basic:552	full	chhikongsoo	Chhī Kong-só͘
taiwanese-basic:552	prefix	chhiko	Chhī Kong-só͘
taiwanese-basic:552	initials	cks	Chhī Kong-só͘
taiwanese-basic:544	full	chhitiunn	Chhī Tiúⁿ
taiwanese-basic:544	prefix	chhit	Chhī Tiúⁿ
taiwanese-basic:544	initials	ct	Chhī Tiúⁿ
taiwanese-basic:553	full	chhitiunn	Chhī tiúⁿ
taiwanese-basic:553	prefix	chhit	Chhī tiúⁿ
taiwanese-basic:553	initials	ct	Chhī tiúⁿ
taiwanese-basic:558	full	hiongkongsoo	Hiong Kong-só͘
taiwanese-basic:558	prefix	hiongk	Hiong Kong-só͘
taiwanese-basic:558	initials	hks	Hiong Kong-só͘
taiwanese-basic:559	full	hiongtiunn	Hiong Tiúⁿ
taiwanese-basic:559	prefix	hiong	Hiong Tiúⁿ
taiwanese-basic:559	initials	ht	Hiong Tiúⁿ
taiwanese-basic:2140	full	jinbatthianchu	Jīn bat Thian-chú
taiwanese-basic:2140	prefix	jinbatt	Jīn bat Thian-chú
taiwanese-basic:2140	initials	jbtc	Jīn bat Thian-chú
taiwanese-basic:2220	full	kah	KAH
taiwanese-basic:2220	prefix	ka	KAH
taiwanese-basic:2220	initials	k	KAH
taiwanese-basic:549	full	khukongsoo	Khu Kong-só͘
taiwanese-basic:549	prefix	khuko	Khu Kong-só͘
taiwanese-basic:549	initials	kks	Khu Kong-só͘
taiwanese-basic:550	full	khutiunn	Khu Tiúⁿ
taiwanese-basic:550	prefix	khut	Khu Tiúⁿ
taiwanese-basic:550	initials	kt	Khu Tiúⁿ
taiwanese-basic:546	full	koanchenghu	Koān Chèng-hú
taiwanese-basic:546	prefix	koanch	Koān Chèng-hú
taiwanese-basic:546	initials	kch	Koān Chèng-hú
taiwanese-basic:547	full	koantiunn	Koān Tiúⁿ
taiwanese-basic:547	prefix	koant	Koān Tiúⁿ
taiwanese-basic:547	initials	kt	Koān Tiúⁿ
taiwanese-basic:561	full	lipankongchhu	Lí Pān-kong-chhù
taiwanese-basic:561	prefix	lipanko	Lí Pān-kong-chhù
taiwanese-basic:561	initials	lpkc	Lí Pān-kong-chhù
taiwanese-basic:562	full	litiunn	Lí Tiúⁿ
taiwanese-basic:562	prefix	liti	Lí Tiúⁿ
taiwanese-basic:562	initials	lt	Lí Tiúⁿ
taiwanese-basic:1465	full	lihai	Lī-hāi
taiwanese-basic:1465	prefix	lih	Lī-hāi
taiwanese-basic:1465	initials	lh	Lī-hāi
taiwanese-basic:540	full	sengchenghu	Séng Chèng-hú
taiwanese-basic:540	prefix	sengch	Séng Chèng-hú
taiwanese-basic:540	initials	sch	Séng Chèng-hú
taiwanese-basic:541	full	sengchusek	Séng Chú-sek
taiwanese-basic:541	prefix	sengc	Séng Chú-sek
taiwanese-basic:541	initials	scs	Séng Chú-sek
taiwanese-basic:555	full	tinkongsoo	Tìn Kong-só͘
taiwanese-basic:555	prefix	tinko	Tìn Kong-só͘
taiwanese-basic:555	initials	tks	Tìn Kong-só͘
taiwanese-basic:556	full	tintiunn	Tìn Tiúⁿ
taiwanese-basic:556	prefix	tint	Tìn Tiúⁿ
taiwanese-basic:556	initials	tt	Tìn Tiúⁿ
taiwanese-basic:2	full	a	a
taiwanese-basic:2	prefix	a	a
taiwanese-basic:2	initials	a	a
taiwanese-basic:401	full	abu	a-bú
taiwanese-basic:401	prefix	ab	a-bú
taiwanese-basic:401	initials	ab	a-bú
taiwanese-basic:17	full	achek	a-chek
taiwanese-basic:17	prefix	ach	a-chek
taiwanese-basic:17	initials	ac	a-chek
taiwanese-basic:21	full	achiu	a-chiu
taiwanese-basic:21	prefix	ach	a-chiu
taiwanese-basic:21	initials	ac	a-chiu
taiwanese-basic:899	full	ache	a-ché
taiwanese-basic:899	prefix	ac	a-ché
taiwanese-basic:899	initials	ac	a-ché
taiwanese-basic:899	full	achi	a-chí
taiwanese-basic:899	prefix	ac	a-chí
taiwanese-basic:899	initials	ac	a-chí
taiwanese-basic:1021	full	achim	a-chím
taiwanese-basic:1021	prefix	ach	a-chím
taiwanese-basic:1021	initials	ac	a-chím
taiwanese-basic:3	full	achoo	a-chó͘
taiwanese-basic:3	prefix	ach	a-chó͘
taiwanese-basic:3	initials	ac	a-chó͘
taiwanese-basic:19	full	ahiann	a-hiaⁿ
taiwanese-basic:19	prefix	ahi	a-hiaⁿ
taiwanese-basic:19	initials	ah	a-hiaⁿ
taiwanese-basic:3032	full	akong	a-kong
taiwanese-basic:3032	prefix	ako	a-kong
taiwanese-basic:3032	initials	ak	a-kong
taiwanese-basic:9	full	akoo	a-ko͘
taiwanese-basic:9	prefix	ak	a-ko͘
taiwanese-basic:9	initials	ak	a-ko͘
taiwanese-basic:12	full	akim	a-kīm
taiwanese-basic:12	prefix	ak	a-kīm
taiwanese-basic:12	initials	ak	a-kīm
taiwanese-basic:11	full	aku	a-kū
taiwanese-basic:11	prefix	ak	a-kū
taiwanese-basic:11	initials	ak	a-kū
taiwanese-basic:8	full	ama	a-mà
taiwanese-basic:8	prefix	am	a-mà
taiwanese-basic:8	initials	am	a-mà
taiwanese-basic:3408	full	ama	a-má
taiwanese-basic:3408	prefix	am	a-má
taiwanese-basic:3408	initials	am	a-má
taiwanese-basic:15	full	apeh	a-peh
taiwanese-basic:15	prefix	ap	a-peh
taiwanese-basic:15	initials	ap	a-peh
taiwanese-basic:22	full	aphian	a-phiàn
taiwanese-basic:22	prefix	aph	a-phiàn
taiwanese-basic:22	initials	ap	a-phiàn
taiwanese-basic:20	full	aso	a-só
taiwanese-basic:20	prefix	as	a-só
taiwanese-basic:20	initials	as	a-só
taiwanese-basic:13	full	ai	a-î
taiwanese-basic:13	prefix	a	a-î
taiwanese-basic:13	initials	ai	a-î
taiwanese-basic:16	full	am	a-ḿ
taiwanese-basic:16	prefix	a	a-ḿ
taiwanese-basic:16	initials	am	a-ḿ
taiwanese-basic:1914	full	ah	ah
taiwanese-basic:1914	prefix	a	ah
taiwanese-basic:1914	initials	a	ah
taiwanese-basic:3551	full	ahnng	ah nn̄g
taiwanese-basic:3551	prefix	ahn	ah nn̄g
taiwanese-basic:3551	initials	an	ah nn̄g
taiwanese-basic:133	full	ahbah	ah-bah
taiwanese-basic:133	prefix	ahb	ah-bah
taiwanese-basic:133	initials	ab	ah-bah
taiwanese-basic:26	full	ahbo	ah-bó
taiwanese-basic:26	prefix	ah	ah-bó
taiwanese-basic:26	initials	ab	ah-bó
taiwanese-basic:26	full	ahbu	ah-bú
taiwanese-basic:26	prefix	ah	ah-bú
taiwanese-basic:26	initials	ab	ah-bú
taiwanese-basic:27	full	ahkang	ah-kang
taiwanese-basic:27	prefix	ahk	ah-kang
taiwanese-basic:27	initials	ak	ah-kang
taiwanese-basic:28	full	ahnng	ah-nn̄g
taiwanese-basic:28	prefix	ahn	ah-nn̄g
taiwanese-basic:28	initials	an	ah-nn̄g
taiwanese-basic:25	full	aha	ah-á
taiwanese-basic:25	prefix	ah	ah-á
taiwanese-basic:25	initials	aa	ah-á
taiwanese-basic:50	full	aikeng	ai-keng
taiwanese-basic:50	prefix	aik	ai-keng
taiwanese-basic:50	initials	ak	ai-keng
taiwanese-basic:49	full	aikiu	ai-kiû
taiwanese-basic:49	prefix	aik	ai-kiû
taiwanese-basic:49	initials	ak	ai-kiû
taiwanese-basic:51	full	aikip	ai-ki̍p
taiwanese-basic:51	prefix	aik	ai-ki̍p
taiwanese-basic:51	initials	ak	ai-ki̍p
taiwanese-basic:58	full	akchhiu	ak-chhiú
taiwanese-basic:58	prefix	akch	ak-chhiú
taiwanese-basic:58	initials	ac	ak-chhiú
taiwanese-basic:57	full	akchui	ak-chúi
taiwanese-basic:57	prefix	akc	ak-chúi
taiwanese-basic:57	initials	ac	ak-chúi
taiwanese-basic:54	full	akhoe	ak-hoe
taiwanese-basic:54	prefix	akh	ak-hoe
taiwanese-basic:54	initials	ah	ak-hoe
taiwanese-basic:55	full	akhoo	ak-hō͘
taiwanese-basic:55	prefix	akh	ak-hō͘
taiwanese-basic:55	initials	ah	ak-hō͘
taiwanese-basic:56	full	aktiohhoo	ak-tio̍h-hō͘
taiwanese-basic:56	prefix	aktio	ak-tio̍h-hō͘
taiwanese-basic:56	initials	ath	ak-tio̍h-hō͘
taiwanese-basic:78	full	anchoan	an-choân
taiwanese-basic:78	prefix	anch	an-choân
taiwanese-basic:78	initials	ac	an-choân
taiwanese-basic:79	full	anchoanteit	an-choân tē-it
taiwanese-basic:79	prefix	anchoa	an-choân tē-it
taiwanese-basic:79	initials	acti	an-choân tē-it
taiwanese-basic:81	full	anlok	an-lo̍k
taiwanese-basic:81	prefix	anl	an-lo̍k
