japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:16902	deha
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:23003	kazu
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:16998	wo
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:22278	nai
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:17733	no
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:15761	ryouriga
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:21291	fusegu
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:20875	onsenno
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:27594	kashikomarimashita
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:19503	o
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:15402	negai
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:21864	nasamadenogoshukuhakutonokotodesuga
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:24790	reru
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:30257	ikaganasai
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:26304	kashikomarimashita
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:18809	hai
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:19439	omeshiagari
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:22446	negaiitashi
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:24415	tsuki
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:16878	omotteru
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:21800	no
japanese	japanese-conversation-asdc	full	docs/language-contract-benchmark/conversations/inputs.tsv:16193	dekireba
