full	1000110	shi'i'de'i'i'pu're'e'ya'a	shiideiipureeyaa	シーディープレーヤー
full	1000160	te'i'i'sha'tsu	teiishatsu	ティーシャツ
full	1000170	te'i'i'ba'kku	teiibakku	ティーバック
full	1000220	me'i'ha'ku	meihaku	めいはく
full	1000320	a'so'ko	asoko	あそこ
full	1000360	a'ssa'ri	assari	あっさり
full	1000390	a'tto'i'u'ma'ni	attoiumani	あっというまに
full	1000420	a'no	ano	あの
full	1000430	a'no	ano	あの
full	1000440	a'no'hi'to	anohito	あのひと
full	1000450	a'no'ka'ta	anokata	あのかた
full	1000470	a'be'ko'be	abekobe	あべこべ
full	1000510	a'ya'fu'ya	ayafuya	あやふや
full	1000520	a'ra	ara	あら
full	1000580	a're	are	あれ
full	1000590	a'n'na	anna	あんな
full	1000620	i'ya'i'ya	iyaiya	いやいや
full	1000660	i'ka'ni'mo	ikanimo	いかにも
full	1000730	i'ke'na'i	ikenai	いけない
full	1000760	i'za'ko'za	izakoza	いざこざ
full	1000820	i'so'i'so	isoiso	いそいそ
full	1000920	i'ra'ssha'i	irasshai	いらっしゃい
full	1000930	i'ra'ssha'i'ma'se	irasshaimase	いらっしゃいませ
full	1000940	i'ra'ssha'ru	irassharu	いらっしゃる
full	1000980	u'zu'u'zu	uzuuzu	うずうず
full	1001010	u'kka'ri	ukkari	うっかり
full	1001030	u'to'u'to	utouto	うとうと
full	1001050	u'ne'ri	uneri	うねり
full	1001060	u'ro'u'ro	urouro	うろうろ
full	1001090	u'n	un	うん
full	1001100	u'n'ko	unko	うんこ
full	1001110	u'n'za'ri	unzari	うんざり
full	1001120	u'n'chi	unchi	ウンチ
full	1001140	e'e	ee	ええ
full	1001150	e'tto	etto	えっと
full	1001150	e'to	eto	えと
full	1001200	o'i	oi	おい
full	1001260	o'shi'kko	oshikko	おしっこ
full	1001350	o'ssa'n	ossan	おっさん
full	1001370	o'ppa'i	oppai	おっぱい
full	1001390	o'de'n	oden	おでん
full	1001400	o'do'o'do	odoodo	オドオド
full	1001420	o'na'ra	onara	おなら
full	1001480	o'ma'ke'ni	omakeni	おまけに
full	1001540	o'me'de'to'u'go'za'i'ma'su	omedetougozaimasu	おめでとうございます
full	1001560	o'ya	oya	おや
full	1001580	o'ro'o'ro	orooro	おろおろ
full	1001620	o'ni'gi'ri	onigiri	おにぎり
full	1001670	o'ba'ke	obake	おばけ
full	1001710	o'ka'shi	okashi	おかし
full	1001720	o'ne'ga'i'shi'ma'su	onegaishimasu	おねがいします
full	1001730	o'ne'ga'i'i'ta'shi'ma'su	onegaiitashimasu	おねがいいたします
full	1001740	o'ka'e'ri'na'sa'i	okaerinasai	おかえりなさい
full	1001770	o'kya'ku'sa'ma	okyakusama	おきゃくさま
full	1001780	o'ya'su'mi'na'sa'i	oyasuminasai	おやすみなさい
full	1001820	o'ka'ne	okane	おかね
full	1001830	o'ni'i'sa'n	oniisan	おにいさん
full	1001890	o'ko'no'mi'ya'ki	okonomiyaki	おこのみやき
full	1001910	o'shi'bo'ri	oshibori	おしぼり
full	1001950	o'ma'i'ri	omairi	おまいり
full	1001960	o'sa'n	osan	おさん
full	1001970	o'shi'ma'i	oshimai	おしまい
full	1001980	o'tsu'ka'i	otsukai	おつかい
full	1001990	o'ne'e'sa'n	oneesan	おねえさん
full	1002010	o'ko'sa'ma	okosama	おこさま
full	1002030	o'ji'gi	ojigi	おじぎ
full	1002050	o'ja'ma'shi'ma'su	ojamashimasu	おじゃまします
full	1002060	o'ma'mo'ri	omamori	おまもり
full	1002080	o'te'a'ge	oteage	おてあげ
full	1002100	o'te'a'ra'i	otearai	おてあらい
full	1002110	o'te'tsu'da'i'sa'n	otetsudaisan	おてつだいさん
full	1002120	o'ma'wa'ri'sa'n	omawarisan	おまわりさん
full	1002170	o'jo'u'sa'n	ojousan	おじょうさん
full	1002250	o'se'ji	oseji	おせじ
full	1002260	o'se'wa'ni'na'ru	osewaninaru	おせわになる
full	1002280	o'sa'ki'ni	osakini	おさきに
full	1002290	o'ma'e	omae	おまえ
full	1002320	o'ji'i'sa'n	ojiisan	おじいさん
full	1002330	o'ba'a'sa'n	obaasan	おばあさん
full	1002340	o'ha'yo'u'go'za'i'ma'su	ohayougozaimasu	おはようございます
