# Frozen before baseline. group, raw, reasonable common choice or literal.
glyph	wo	我
glyph	ni	你
glyph	ta	他
glyph	de	的
glyph	shi	是
glyph	bu	不
glyph	le	了
glyph	zai	在
glyph	you	有
glyph	he	和
glyph	ma	嗎
glyph	men	們
glyph	hao	好
glyph	yao	要
glyph	hui	會
glyph	lai	來
glyph	qu	去
glyph	chi	吃
glyph	kan	看
glyph	shuo	說
glyph	zhe	這
glyph	na	那
glyph	mei	沒
glyph	dui	對
glyph	ge	個
glyph	jiu	就
glyph	ke	可
glyph	ai	愛
glyph	deng	等
glyph	zhen	真
prefix	n	你
prefix	w	我
prefix	s	是
prefix	d	的
prefix	b	不
prefix	z	在
phrase	zaoan	早安
phrase	wanan	晚安
phrase	xiexie	謝謝
phrase	zaijian	再見
phrase	meiguanxi	沒關係
phrase	duibuqi	對不起
phrase	chifan	吃飯
phrase	shangban	上班
phrase	xiaban	下班
phrase	zenmeyang	怎麼樣
phrase	weishenme	為什麼
phrase	zhidao	知道
phrase	dengyixia	等一下
phrase	shenmeshihou	什麼時候
phrase	wobuzhidao	我不知道
phrase	nizainali	你在哪裡
mixed	wobzhidao	我不知道
mixed	dengyx	等一下
initial	wsm	為什麼
initial	dbq	對不起
english	hello how are you	hello how are you
english	i am good thanks	i am good thanks
english	see you tomorrow	see you tomorrow
english	can we meet today	can we meet today
english	what time is dinner	what time is dinner
english	please call me later	please call me later
english	i will be home soon	i will be home soon
english	ok sounds good	ok sounds good
english	yes no maybe sorry	yes no maybe sorry
english	i need some help	i need some help
english	where are you now	where are you now
english	that is really nice	that is really nice
