reference	py-xiexie		xiexie	謝謝
reference	py-xx		xx	謝謝
reference	py-xiex		xiex	謝謝
reference	py-bukeqi		bukeqi	不客氣
reference	py-bkq		bkq	不客氣
reference	py-bukq		bukq	不客氣
reference	py-zaoshanghao		zaoshanghao	早上好
reference	py-zsh		zsh	早上好
reference	py-zaoshh		zaoshh	早上好
reference	py-womenmingtianjian		womenmingtianjian	我們明天見
reference	py-wmmtj		wmmtj	我們明天見
reference	py-womenmtjian		womenmtjian	我們明天見
reference	py-woyaohekafei		woyaohekafei	我要喝咖啡
reference	py-wyhkf		wyhkf	我要喝咖啡
reference	py-woyhekafei		woyhekafei	我要喝咖啡
reference	py-jintianxiawu		jintianxiawu	今天下午
reference	py-jtxw		jtxw	今天下午
reference	py-jintxiawu		jintxiawu	今天下午
reference	py-qingbangwokanyixia		qingbangwokanyixia	請幫我看一下
reference	py-qbwkyx		qbwkyx	請幫我看一下
reference	py-qingbwkanyixia		qingbwkanyixia	請幫我看一下
reference	py-xianzaijidian		xianzaijidian	現在幾點
reference	py-xzjd		xzjd	現在幾點
reference	py-xianzaijd		xianzaijd	現在幾點
development	fresh-mingtianxiawu		mingtianxiawu	明天下午
development	fresh-mtxw		mtxw	明天下午
development	fresh-mingtxiawu		mingtxiawu	明天下午
development	fresh-keyibangwo		keyibangwo	可以幫我
development	fresh-kybw		kybw	可以幫我
development	fresh-keyibw		keyibw	可以幫我
development	fresh-woxianghuijia		woxianghuijia	我想回家
development	fresh-wxhj		wxhj	我想回家
development	fresh-woxhuijia		woxhuijia	我想回家
development	fresh-jintianwanshang		jintianwanshang	今天晚上
development	fresh-jtws		jtws	今天晚上
development	fresh-jintwanshang		jintwanshang	今天晚上
development	fresh-mingtianzaishuo		mingtianzaishuo	明天再說
development	fresh-mtzs		mtzs	明天再說
development	fresh-mingtzaishuo		mingtzaishuo	明天再說
development	fresh-wobuzhidao		wobuzhidao	我不知道
development	fresh-wbzd		wbzd	我不知道
development	fresh-wobuzd		wobuzd	我不知道
development	fresh-womenyiqi		womenyiqi	我們一起
development	fresh-wmyq		wmyq	我們一起
development	fresh-womenyq		womenyq	我們一起
development	fresh-xiexiedajia		xiexiedajia	謝謝大家
development	fresh-xxdj		xxdj	謝謝大家
development	fresh-xiexiedj		xiexiedj	謝謝大家
fresh	fresh-1-full		nijintianyaoqunali	你今天要去哪裡
fresh	fresh-1-initials		njtyqnl	你今天要去哪裡
fresh	fresh-1-mixed		nijtianyqunli	你今天要去哪裡
fresh	fresh-2-full		woyijingdaojiale	我已經到家了
fresh	fresh-2-initials		wyjdjl	我已經到家了
fresh	fresh-2-mixed		woyjingdjial	我已經到家了
fresh	fresh-3-full		womenyiqichifanba	我們一起吃飯吧
fresh	fresh-3-initials		wmyqcfb	我們一起吃飯吧
fresh	fresh-3-mixed		womyiqchifba	我們一起吃飯吧
fresh	fresh-4-full		qingwenchezhanzenmezou	請問車站怎麼走
fresh	fresh-4-initials		qwczzmz	請問車站怎麼走
fresh	fresh-4-mixed		qingwchezzenmzou	請問車站怎麼走
fresh	fresh-5-full		zhegeduoshaoqian	這個多少錢
fresh	fresh-5-initials		zgdsq	這個多少錢
fresh	fresh-5-mixed		zhegduosqian	這個多少錢
fresh	fresh-6-full		womingtianzaidageini	我明天再打給你
fresh	fresh-6-initials		wmtzdgn	我明天再打給你
fresh	fresh-6-mixed		womtianzdagni	我明天再打給你
fresh	fresh-7-full		nishenmeshihouyoukong	你什麼時候有空
fresh	fresh-7-initials		nsmshyk	你什麼時候有空
fresh	fresh-7-mixed		nismeshouykong	你什麼時候有空
fresh	fresh-8-full		keyizaishuoyicima	可以再說一次嗎
fresh	fresh-8-initials		kyzsycm	可以再說一次嗎
fresh	fresh-8-mixed		keyzaisyicma	可以再說一次嗎
fresh	fresh-9-full		woyaoqumaidongxi	我要去買東西
fresh	fresh-9-initials		wyqmdx	我要去買東西
fresh	fresh-9-mixed		woyqumdongx	我要去買東西
fresh	fresh-10-full		zhunishengrikuaile	祝你生日快樂
fresh	fresh-10-initials		znsrkl	祝你生日快樂
fresh	fresh-10-mixed		zhunshengrkuail	祝你生日快樂
fresh	fresh-11-full		buhaoyisirangnijiudengle	不好意思讓你久等了
fresh	fresh-11-initials		bhysrnjdl	不好意思讓你久等了
fresh	fresh-11-mixed		buhyisrangnjiudle	不好意思讓你久等了
fresh	fresh-12-full		jintianwanshangyoushijianma	今天晚上有時間嗎
fresh	fresh-12-initials		jtwsysjm	今天晚上有時間嗎
fresh	fresh-12-mixed		jintwansyousjianm	今天晚上有時間嗎
